userID|itemID|prediction
0|20664|3
0|28231|0
13|2690|3
15|1299|0
15|20968|0
20|8272|1
24|11340|0
34|21146|3
34|31244|0
46|31083|0
61|4648|0
76|4603|3
76|23869|4
76|29829|0
78|12635|4
79|21856|0
80|5907|0
94|2747|0
94|17291|3
94|20338|1
99|5076|0
100|5891|0
110|11155|3
115|19573|0
124|20133|0
129|23582|3
130|2446|4
130|6639|0
130|18586|2
130|24236|0
134|4595|0
134|5902|0
135|190|1
135|16809|2
148|31812|0
149|31265|0
151|14776|0
156|3957|3
164|9757|0
167|12528|4
169|875|2
169|4439|4
169|6923|3
169|29497|4
170|24528|2
186|28135|3
189|2062|2
190|24243|0
190|26273|4
197|15523|0
209|6105|0
209|28900|4
210|11251|0
218|2446|2
218|11434|1
218|29307|0
225|4702|0
232|2065|4
232|27629|0
236|28695|0
239|11074|4
240|10846|0
240|11556|0
256|27263|0
258|17645|0
264|12192|3
277|2517|0
277|32204|0
312|23|2
312|13676|0
314|27830|0
319|6169|0
324|1924|3
328|21690|0
332|8004|0
369|5391|3
369|12528|4
377|32204|0
378|2517|3
384|30448|3
386|8168|2
388|19837|3
390|3845|0
408|18121|0
424|20478|0
432|29657|2
439|5403|0
439|15389|0
442|15163|0
442|18630|0
449|23945|4
454|4279|0
458|1299|0
458|18863|0
458|32169|4
459|28347|0
460|31525|4
471|8615|0
473|18630|3
474|24405|0
481|27108|3
482|29281|0
487|23198|0
496|11188|2
496|20106|0
501|31702|0
507|32609|0
508|3423|4
519|28802|0
524|13187|0
524|23050|0
528|4533|2
532|7644|1
539|26082|0
545|12251|0
548|18630|0
553|31262|3
571|27300|0
573|23050|0
575|22058|0
578|30203|0
582|4509|0
588|10507|0
588|23050|4
589|13466|0
596|22420|4
599|20515|0
606|9937|0
607|28260|4
612|11155|0
629|11251|0
629|17269|0
629|30511|0
630|3913|0
636|17568|0
636|23255|3
658|27560|2
660|31632|0
670|12965|4
678|6833|3
678|17662|4
678|19364|0
689|23733|3
689|29048|4
695|20131|2
696|19267|0
699|637|0
699|14784|4
704|7244|0
723|10039|0
723|20038|0
725|20595|0
739|1970|0
740|14784|1
740|18610|0
765|14772|0
770|11546|0
773|4091|0
773|29657|0
785|22498|1
786|12283|4
795|15037|3
799|26886|4
799|29657|1
830|536|0
839|26963|0
848|29132|4
851|15423|0
862|28531|0
863|24094|2
873|21350|0
873|24795|0
874|14199|3
874|16294|0
883|17273|0
888|6923|3
908|4091|2
911|2643|4
911|2684|2
911|2916|0
911|11180|0
911|16017|0
916|875|0
923|20156|3
926|14901|0
927|7032|0
930|12553|0
930|23582|4
941|15451|3
953|18630|1
959|2684|0
959|21671|0
959|29288|0
981|3379|4
984|13168|0
1002|2418|0
1005|31073|0
1014|5221|0
1015|4803|0
1015|7644|0
1015|13027|0
1051|15423|2
1060|7032|0
1062|18325|2
1065|750|2
1075|425|4
1083|21124|0
1089|29657|0
1094|8767|0
1102|9491|2
1134|23050|4
1139|18031|0
1147|1970|0
1155|11082|0
1160|13228|3
1160|29555|0
1161|10739|0
1161|16747|4
1169|19816|0
1173|31392|2
1175|21766|0
1175|30184|0
1177|2891|0
1177|23148|0
1178|19121|2
1182|4951|0
